科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
销售商品、提供劳务收到的现金,"247,751,341.26","549,593,587.60","1,023,323,618.02","1,449,516,880.35","249,038,557.32","653,081,398.00","999,397,472.26","1,234,986,175.63","191,640,325.24","449,782,522.51","633,780,475.52","865,214,976.22","194,640,540.66","418,463,725.23","818,861,148.42","1,232,337,682.00","341,298,662.33","688,588,082.58","804,757,668.69","960,903,316.06","174,916,709.82","442,875,409.36","578,978,362.54","944,265,471.05","139,397,842.17","503,495,704.12","734,357,840.53","1,076,292,219.59","297,101,786.02","523,115,435.89","821,127,912.45","1,007,676,827.54","136,820,520.39","211,540,595.99","245,625,866.12","491,370,741.76","58,777,870.18","155,680,587.16","285,226,727.72","604,532,143.91","375,124,370.09","453,934,451.65"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,892,083.30",,,,"245,359,021.48",,,,,,
收到的税费返还,"509,480.02","2,250,930.48","4,889,435.92","5,965,328.07","5,025,698.06","8,512,677.98","11,010,203.69","12,931,561.85","2,412,820.11","5,227,467.93","7,121,157.56","8,099,541.29","10,385,901.07","6,987,979.39","13,567,552.33","11,124,478.07","1,271,656.59","6,114,603.16","7,678,484.58","4,209,321.58","642,420.07","1,864,322.93","2,808,154.93","1,185,940.65","943,086.67","686,986.26","880,498.23","1,055,094.00",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"88,724,642.81","73,158,324.90","73,158,324.90","92,378,513.72","23,809,142.22","23,809,142.22","23,809,142.22","22,376,853.11","3,406,468.22","3,406,468.22","3,406,468.22","3,406,468.22",,"13,788.69",,"132,328,500.00","50,017,380.18","64,380,288.36","82,380,288.36","87,178,110.36","3,000,000.00","3,000,000.00","12,000,000.00","20,000,000.00","3,000,000.00","4,509,720.64","4,509,720.64","4,509,720.64","2,000,000.00","2,000,000.00","17,000,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"26,753,261.10","34,421,682.01","16,471,463.02","14,073,222.25","107,312,513.71","100,841,989.53","168,105,674.02","36,519,518.13","46,234,957.92","51,910,971.67","61,745,101.15","79,468,127.33","40,982,702.24","65,605,562.17","40,429,317.13","34,901,493.49","2,911,565.96","5,978,028.83","82,615,152.16","44,384,089.44","3,861,005.34","17,557,988.90","31,582,296.44","26,426,404.31","12,493,838.15","23,919,970.37","33,440,206.32","59,513,251.02","13,781,128.27","26,982,151.50","52,850,591.72","220,590,844.89","9,195,905.60","20,306,841.57","32,987,643.63","50,045,981.28","15,535,290.74","56,370,774.39","38,931,961.09","35,811,568.72","11,212,423.24","395,539,111.49"
投资活动现金流出小计,"161,271,409.94","205,038,443.23","292,115,450.52","376,913,036.64","62,922,785.95","94,027,636.25","114,413,592.09","206,524,735.37","26,716,937.90","55,278,446.67","104,634,280.03","191,222,782.27","61,051,071.21","175,790,347.60","238,238,380.99","223,140,551.27","57,404,882.71","82,454,595.23","108,573,600.91","115,048,054.05","6,449,591.44","9,293,187.64","21,682,060.56","74,228,986.92","7,763,971.70","11,907,726.12","74,189,022.77","74,691,099.88","5,607,366.53","6,513,001.53","22,408,578.31","144,882,962.46","2,121,349.70","3,098,346.05","6,265,258.87","256,946,840.35","15,353,495.29","49,497,681.13","57,593,215.67","67,005,501.90","3,061,617.83","219,093,307.70"
经营活动现金流入小计,"275,014,082.38","586,266,200.09","1,044,684,516.96","1,469,555,430.67","361,376,769.09","762,436,065.51","1,178,513,349.97","1,284,437,255.61","240,288,103.27","506,920,962.11","702,646,734.23","952,782,644.84","246,009,143.97","491,057,266.79","872,858,017.88","1,278,363,653.56","345,481,884.88","700,680,714.57","895,051,305.43","1,009,496,727.08","179,420,135.23","462,297,721.19","613,368,813.91","971,877,816.01","152,834,766.99","528,102,660.75","768,678,545.08","1,136,860,564.61","310,882,914.29","550,097,587.39","873,978,504.17","1,228,267,672.43","146,016,425.99","231,847,437.56","278,613,509.75","541,416,723.04","74,313,160.92","212,051,361.55","324,158,688.81","640,343,712.63","386,336,793.33","2,165,264,632.52"
投资活动产生的现金流量净额,"-66,328,250.35","8,750,741.75","-12,622,987.79","-40,744,497.45","-40,428,506.45","-41,015,282.63","-53,868,829.23","-11,824,548.32","11,904,356.47","-13,233,511.87","-56,725,120.70","-83,611,438.25","-47,661,420.17","-116,289,996.55","-143,029,731.41","38,320,844.48","39,668,754.56","48,971,183.01","27,872,116.78","28,041,625.95","-5,410,553.75","9,571,741.06","4,806,963.77","-36,996,520.90","33,231,468.44","17,673,385.26","-44,483,245.39","-43,472,714.05","-3,527,266.53","5,264,342.19","-197,831.04","-30,080,075.06","-2,014,749.70","2,244,773.31","5,477,852.36","-166,341,033.11","-14,832,905.29","-48,699,941.13","-44,770,745.72","-44,699,274.98","-345,837.83","-322,850,965.83"
购买商品、接受劳务支付的现金,"202,933,028.67","438,396,989.72","845,155,307.76","1,194,758,227.40","165,232,686.56","522,163,480.10","823,850,897.27","978,486,496.31","130,540,013.10","351,176,439.58","483,768,546.74","608,264,879.28","148,665,370.38","335,347,793.04","675,174,735.91","1,110,270,897.90","165,058,577.51","295,043,344.44","422,709,921.46","639,599,665.73","341,664,707.30","609,226,309.03","718,286,266.48","839,981,920.17","185,526,753.74","240,573,244.85","300,961,638.33","341,416,614.10","158,663,938.89","243,524,045.62","425,393,043.76","926,255,559.18","81,294,143.67","182,228,682.73","228,882,307.45","336,475,196.34","76,091,562.47","353,394,118.23","446,178,781.01","786,602,614.52","89,226,729.81","127,624,951.26"
吸收投资收到的现金,,"6,960,183.12","8,163,325.37","10,451,212.55",,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","19,200,000.00","19,200,000.00",,,,,"490,000.00","490,000.00","34,055,000.00","34,055,000.00",,"1,260,264,000.00"
支付给职工以及为职工支付的现金,"23,296,570.20","63,809,454.43","98,251,232.52","131,793,682.59","31,685,353.50","51,590,878.16","77,437,635.17","101,088,786.71","21,951,734.60","40,404,545.01","61,049,603.47","89,999,873.65","23,782,672.17","43,903,967.73","68,552,579.77","92,589,960.34","17,894,655.57","32,095,155.31","45,846,943.56","68,172,228.75","25,146,945.04","47,278,466.93","58,726,502.10","88,713,829.14","19,878,729.48","34,803,253.17","50,148,077.03","86,299,533.16","29,677,131.40","47,630,438.07","85,982,038.23","109,201,369.52","15,202,311.79","27,511,290.84","45,301,364.92","64,626,037.32","22,893,780.22","41,844,238.77","63,701,338.15","91,176,025.13","22,896,377.12","427,986,618.08"
取得借款收到的现金,"55,000,000.00","419,905,125.00","574,507,061.51","699,626,780.33","80,000,000.00","340,000,000.00","390,000,000.00","585,000,000.00","20,000,000.00","260,000,000.00","340,000,000.00","488,089,995.00","133,195,788.00","480,803,218.00","512,384,638.00","572,384,638.00","105,000,000.00","185,000,000.00","355,000,000.00","495,000,000.00","135,000,000.00","525,000,000.00","725,000,000.00","1,005,000,000.00","680,807,829.95","780,807,829.95","1,030,807,829.95","1,230,807,829.95","250,000,000.00","680,000,000.00","758,000,000.00","870,000,000.00","193,000,000.00","391,000,000.00","593,790,000.00","607,490,000.00","221,600,000.00","741,600,000.00","1,116,600,000.00","1,316,600,000.00","4,900,000.00","64,927,945.00"
支付的各项税费,"14,354,570.21","24,067,281.51","39,823,254.53","49,370,860.05","12,344,819.57","26,861,547.48","37,574,293.12","50,884,628.95","5,759,529.52","12,329,637.39","17,441,299.67","30,937,786.15","12,037,576.73","28,619,801.57","43,574,909.59","62,694,905.92","28,752,329.04","67,114,973.71","77,556,467.99","95,207,621.99","45,966,910.21","86,328,838.06","96,748,338.31","88,227,233.02","58,435,950.43","97,120,118.41","146,258,645.09","219,738,912.61","33,326,721.55","94,664,923.57","102,530,638.59","117,451,932.46","13,813,611.10","31,519,497.33","55,989,886.56","61,557,514.24","97,765,688.02","129,668,990.53","146,100,889.48","158,727,924.06","16,888,033.81","169,628,866.61"
收到其他与筹资活动有关的现金,,,,"4,300,495.00","381,885.00","1,461,696.00","2,028,714.00",,,,,,,,,"202,594,000.00",,,,,,,,,,,,,,,,,,,,"7,000,000.00",,,,,,"1,198,637,700.00"
支付其他与经营活动有关的现金,"15,582,710.39","36,368,874.99","81,700,132.82","91,063,954.57","53,169,447.69","75,487,065.04","71,482,472.03","68,171,545.38","34,334,456.15","51,276,270.98","69,290,430.96","66,490,004.37","40,941,416.13","107,065,866.79","59,683,939.51","82,189,759.88","27,294,336.81","127,096,649.53","133,970,548.20","38,540,384.28","10,521,154.02","16,930,829.04","39,861,493.26","38,863,379.21","13,117,008.74","25,159,665.00","30,108,917.25","44,053,146.14","12,262,858.78","19,883,849.40","51,485,467.43","92,396,152.25","45,164,249.67","52,680,832.61","161,314,325.19","95,148,173.03","15,512,102.33","30,997,636.20","47,150,323.59","43,798,277.51","24,069,110.98","1,381,681,869.96"
筹资活动现金流入小计,"55,000,000.00","426,865,308.12","582,670,386.88","714,378,487.88","80,381,885.00","341,461,696.00","392,028,714.00","585,000,000.00","20,000,000.00","260,000,000.00","340,000,000.00","488,089,995.00","133,195,788.00","480,803,218.00","512,384,638.00","774,978,638.00","105,000,000.00","185,000,000.00","355,000,000.00","495,000,000.00","135,000,000.00","525,000,000.00","725,000,000.00","1,005,000,000.00","680,807,829.95","780,807,829.95","1,030,807,829.95","1,230,807,829.95","250,000,000.00","681,000,000.00","777,200,000.00","889,200,000.00","193,000,000.00","391,000,000.00","593,790,000.00","614,490,000.00","222,090,000.00","742,090,000.00","1,150,655,000.00","1,350,655,000.00","4,900,000.00","2,523,829,645.00"
经营活动现金流出小计,"256,166,879.47","562,642,600.65","1,064,929,927.63","1,466,986,724.61","262,432,307.32","676,102,970.78","1,010,345,297.59","1,198,631,457.35","192,585,733.37","455,186,892.96","631,549,880.84","795,692,543.45","225,427,035.41","514,937,429.13","846,986,164.78","1,347,745,524.04","238,999,898.93","521,350,122.99","680,083,881.21","841,519,900.75","423,299,716.57","759,764,443.06","913,622,600.15","1,055,786,361.54","276,958,442.39","397,656,281.43","527,477,277.70","691,508,206.01","233,930,650.62","405,703,256.66","665,391,188.01","1,245,305,013.41","155,474,316.23","293,940,303.51","491,487,884.12","557,806,920.93","212,263,133.04","555,904,983.73","703,131,332.23","1,080,304,841.22","153,080,251.72","2,182,310,699.67"
偿还债务支付的现金,"110,000,000.00","361,000,000.00","541,000,000.00","614,384,556.51","155,000,000.00","443,000,000.00","493,000,000.00","663,000,000.00","50,000,000.00","295,000,000.00","335,000,000.00","500,000,000.00","108,089,639.50","256,287,395.50","290,830,415.50","455,194,035.50","85,000,383.45","350,000,000.00","390,000,000.00","420,000,000.00","95,000,000.00","185,000,000.00","375,000,000.00","620,000,000.00","170,000,000.00","420,000,000.00","620,010,000.00","910,010,000.00","230,010,000.00","630,010,000.00","670,020,000.00","810,020,000.00","549,970,000.00","702,970,000.00","712,198,095.24","829,426,190.48","109,228,095.24","432,456,190.48","641,684,285.72","679,912,380.96","246,628,095.24","1,020,030,129.18"
经营活动产生的现金流量净额,"18,847,202.91","23,623,599.44","-20,245,410.67","2,568,706.06","98,944,461.77","86,333,094.73","168,168,052.38","85,805,798.26","47,702,369.90","51,734,069.15","71,096,853.39","157,090,101.39","20,582,108.56","-23,880,162.34","25,871,853.10","-69,381,870.48","106,481,985.95","179,330,591.58","214,967,424.22","167,976,826.33","-243,879,581.34","-297,466,721.87","-300,253,786.24","-83,908,545.53","-124,123,675.40","130,446,379.32","241,201,267.38","445,352,358.60","76,952,263.67","144,394,330.73","208,587,316.16","-17,037,340.98","-9,457,890.24","-62,092,865.95","-212,874,374.37","-16,390,197.89","-137,949,972.12","-343,853,622.18","-378,972,643.42","-439,961,128.59","233,256,541.61","-17,046,067.15"
分配股利、利润或偿还利息支付的现金,"7,602,827.62","92,687,917.48","97,688,326.74","104,870,638.51","10,646,097.71","77,947,021.41","83,686,880.30","90,877,189.57","5,617,190.92","10,346,497.81","40,692,773.64","44,181,529.89","4,685,169.38","10,790,008.69","19,414,730.15","23,222,704.76","5,209,155.39","64,328,544.25","69,647,158.05","74,190,886.90","8,349,597.10","20,252,778.24","71,463,119.57","97,803,272.34","11,326,083.32","89,497,428.71","108,519,012.04","126,709,536.45","16,855,346.24","123,527,405.53","140,685,025.14","158,389,257.76","19,291,173.01","32,931,242.03","92,336,164.61","108,105,272.02","14,158,893.02","69,401,435.06","86,324,682.91","104,374,921.73","17,774,850.94","192,504,916.79"
收回投资收到的现金,"44,221,953.78","102,433,289.54","126,826,950.74","144,447,854.90","2,106,336.57","4,350,678.54","7,613,155.28","10,659,001.05","8,512,447.16","8,659,568.91","13,850,871.54","62,007,119.29","2,235,450.00","28,130,300.43","36,721,572.63","89,534,093.12","16,051,691.12","25,198,320.47","21,302,687.30","23,986,117.26",,,,,,,,,,"8,265,608.11","8,265,608.11","95,602,862.82",,,,"68,762,289.71",,,,,,
支付其他与筹资活动有关的现金,,,"7,995,291.89","19,237,515.71","18,911,838.17","18,738,165.24","25,621,124.89","37,988,714.61",,,,,,,,"152,494,000.00",,,,,,,,,"25,568,205.55","38,524.58","38,524.58","2,898,524.58",,,,"15,000,000.00",,,,,,,,,,"1,890,110,000.00"
取得投资收益收到的现金,"36,554,340.10","92,926,623.29","131,974,571.78","150,231,068.78","15,235,675.08","23,684,287.21","23,868,350.37","44,758,174.32","27,391,107.36","30,167,607.09","30,748,110.57","32,194,042.76","11,041,531.04","29,136,385.62","53,813,001.95","40,587,268.58","10,066,574.82","4,968,809.78","11,623,116.39","11,263,653.74",,"13,718,719.16","13,718,719.16","13,730,645.14","6,189,591.74","15,337,322.64","15,337,322.64","15,350,332.80",,"1,009,233.70","6,488,848.88","8,221,872.07",,"5,222,819.36","10,351,411.23","19,648,667.53",,,"11,948,379.95","21,339,636.92","2,300,000.00","13,377,000.00"
筹资活动现金流出小计,"117,602,827.62","453,687,917.48","646,683,618.63","738,492,710.73","184,557,935.88","539,685,186.65","602,308,005.19","791,865,904.18","55,617,190.92","305,346,497.81","375,692,773.64","544,181,529.89","112,774,808.88","267,077,404.19","310,245,145.65","630,910,740.26","90,209,538.84","414,328,544.25","459,647,158.05","494,190,886.90","103,349,597.10","205,252,778.24","446,463,119.57","717,803,272.34","206,894,288.87","509,535,953.29","728,567,536.62","1,039,618,061.03","246,865,346.24","753,537,405.53","810,705,025.14","983,409,257.76","569,261,173.01","735,901,242.03","804,534,259.85","937,531,462.50","123,386,988.26","501,857,625.54","728,008,968.63","784,287,302.69","264,402,946.18","3,102,645,045.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"95,000.00","4,357,406.44","6,619,074.50","11,851,431.89","171,450.00","24,977,387.87","29,063,257.21","86,276,971.40","2,717,739.85","3,217,758.80","3,310,177.22","3,565,980.73","112,670.00","2,233,665.00","4,674,075.00","5,805,974.14","1,202,284.04","1,949,784.04","3,564,642.41","7,418,862.49","1,039,037.69","2,146,209.54","2,770,305.17","3,242,682.01","384,000.00","784,234.00","908,700.00","2,408,298.29","74,500.00","197,000.00","5,150,788.37","10,978,152.51","106,600.00","120,300.00","1,391,700.00","2,194,850.00","520,590.00","797,740.00","874,090.00","966,590.00","415,780.00","2,670,156.90"
筹资活动产生的现金流量净额,"-62,602,827.62","-26,822,609.36","-64,013,231.75","-24,114,222.85","-104,176,050.88","-198,223,490.65","-210,279,291.19","-206,865,904.18","-35,617,190.92","-45,346,497.81","-35,692,773.64","-56,091,534.89","20,420,979.12","213,725,813.81","202,139,492.35","144,067,897.74","14,790,461.16","-229,328,544.25","-104,647,158.05","809,113.10","31,650,402.90","319,747,221.76","278,536,880.43","287,196,727.66","473,913,541.08","271,271,876.66","302,240,293.33","191,189,768.92","3,134,653.76","-72,537,405.53","-33,505,025.14","-94,209,257.76","-376,261,173.01","-344,901,242.03","-210,744,259.85","-323,041,462.50","98,703,011.74","240,232,374.46","422,646,031.37","566,367,697.31","-259,502,946.18","-578,815,400.97"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"9,844,201.24",,,,"50,434,059.91","28,069,198.40","24,423,394.58","24,423,394.58","24,423,394.58",,,,,"24,019,960.33",,,,,,,,,,,,,,,,,"-119,909,888.16"
四、汇率变动对现金的影响,"-84,046.34","-584,328.24","-130,815.88","-2,674,296.80","-179,519.77","-761,432.96","-1,391,040.58","-6,414,614.24","266,206.12","441,337.59","1,376,168.14","379,401.83","-217,933.49","-721,661.01","-383,951.09","-2,132,656.91","39,485.34","-101,005.40","-908,712.80","-1,217,870.92","103,254.45","-146,044.44","19,057.01",721.51,"-273,208.63","-319,374.26","-256,862.55","-381,045.36","41,001.59","54,112.95",349.69,"-44,091.50",,0.03,0.03,0.03,,2.69,3.30,-253.24,0.86,"-538,621.91"
收到其他与投资活动有关的现金,"14,071,865.71","14,071,865.71","14,071,865.71","29,638,183.62","4,980,817.85",,,"53,006,040.28",,,,,,,,"75,100,000.00","41,683,888.89","74,885,469.37","75,531,877.01","75,997,651.93",,"3,000,000.00","10,000,000.00","20,259,138.87","10,401,888.07","13,459,554.74","13,459,754.74","13,459,754.74","2,005,600.00","2,305,501.91","2,305,501.91",,,,,,,,,,,"105,073.13"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"94,943,159.59","213,789,184.98","279,492,462.73","336,168,539.19","22,494,279.50","53,012,353.62","60,544,762.86","194,700,187.05","38,621,294.37","42,044,934.80","47,909,159.33","107,611,344.02","13,389,651.04","59,500,351.05","95,208,649.58","261,461,395.75","97,073,637.27","131,425,778.24","136,445,717.69","143,089,680.00","1,039,037.69","18,864,928.70","26,489,024.33","37,232,466.02","40,995,440.14","29,581,111.38","29,705,777.38","31,218,385.83","2,080,100.00","11,777,343.72","22,210,747.27","114,802,887.40","106,600.00","5,343,119.36","11,743,111.23","90,605,807.24","520,590.00","797,740.00","12,822,469.95","22,306,226.92","2,715,780.00","-103,757,658.13"
五、现金及现金等价物净增加额,"-110,167,921.40","4,967,403.59","-97,012,446.09","-64,964,311.04","-45,839,615.33","-153,667,111.51","-97,371,108.62","-139,299,268.48","24,255,741.57","-6,404,602.94","-19,944,872.81","17,766,530.08","-6,876,265.98","72,833,993.91","84,597,662.95","110,874,214.83","160,980,687.01","-1,127,775.06","137,283,670.15","195,609,694.46","-217,536,477.74","31,706,196.51","-16,890,885.03","166,292,382.74","382,748,125.49","419,072,266.98","498,701,452.77","592,688,368.11","76,600,652.49","77,175,380.34","174,884,809.67","-141,370,765.30","-387,733,812.95","-404,749,334.64","-418,140,781.83","-505,772,693.47","-54,079,865.67","-152,321,186.16","-1,097,354.47","81,707,040.50","-26,592,241.54","-919,251,055.86"
购建固定资产、无形资产和其他长期资产支付的现金,"62,023,822.13","114,989,609.78","179,737,182.69","224,597,404.65","32,105,355.54","56,056,807.51","74,522,585.06","117,266,017.45","23,310,469.68","51,871,978.45","100,845,156.81","183,710,698.68","58,685,651.21","150,193,308.91","205,183,290.99","57,689,461.27","7,387,502.53","16,074,306.87","21,443,312.55","25,869,943.69","3,449,591.44","6,293,187.64","9,682,060.56","54,228,986.92","4,763,971.70","7,398,005.48","9,679,302.13","9,681,379.24","3,607,366.53","4,513,001.53","5,408,578.31","8,990,879.16","2,121,349.70","3,098,346.05","6,265,258.87","11,587,818.87","6,307,722.12","29,401,907.96","36,416,549.05","45,828,835.28","3,061,617.83","30,077,408.73"
期初现金及现金等价物余额,"342,874,939.23","342,874,939.23","342,874,939.23","342,874,939.23","277,910,628.19","277,910,628.19","277,910,628.19","277,910,628.19","138,611,359.71","138,611,359.71","138,611,359.71","138,611,359.71","156,377,889.79","156,377,889.79","156,377,889.79","156,377,889.79","267,252,104.62","267,252,104.62","267,252,104.62","267,252,104.62","462,861,799.08","462,861,799.08","462,861,799.08","462,861,799.08","629,154,181.82","629,154,181.82","629,154,181.82","629,154,181.82","1,221,842,549.93","1,221,842,549.93","1,221,842,549.93","1,221,842,549.93","1,080,471,784.63","1,080,471,784.63","1,080,471,784.63","1,080,471,784.63","574,699,091.16","574,699,091.16","574,699,091.16","574,699,091.16","656,406,131.66","10,129,523,079.31"
投资支付的现金,"10,522,945.00","16,890,508.55","39,219,942.93","59,937,118.27","7,008,288.19","14,161,686.52","16,081,864.81","66,881,864.81",,,"382,655.00","4,105,615.37","2,365,420.00","25,583,250.00","33,055,090.00","33,122,590.00",,"2,000,000.00","4,750,000.00","2,000,000.00",,,,,,,"60,000,000.00","60,500,000.00",,,,"60,000,000.00",,,,,"9,045,773.17","20,095,773.17","21,176,666.62","21,176,666.62",,"189,015,898.97"
期末现金及现金等价物余额,"232,707,017.83","347,842,342.82","245,862,493.14","277,910,628.19","232,071,012.86","124,243,516.68","180,539,519.57","138,611,359.71","162,867,101.28","132,206,756.77","118,666,486.90","156,377,889.79","149,501,623.81","229,211,883.70","240,975,552.74","267,252,104.62","428,232,791.63","266,124,329.56","404,535,774.77","462,861,799.08","245,325,321.34","494,567,995.59","445,970,914.05","629,154,181.82","1,011,902,307.31","1,048,226,448.80","1,127,855,634.59","1,221,842,549.93","1,298,443,202.42","1,299,017,930.27","1,396,727,359.60","1,080,471,784.63","692,737,971.68","675,722,449.99","662,331,002.80","574,699,091.16","520,619,225.49","422,377,905.00","573,601,736.69","656,406,131.66","629,813,890.12","9,210,272,023.45"
